Point;Latitude;Longitude
DDE02;56.453228;-3.097114
DDE03;56.453528;-3.127167
DDE06;56.454571;-3.238267
DDE86;56.454914;-3.277306
DENBY;53.520278;-1.961111
DENOG;57.431389;-1.754444
DESAP;51.686908;-1.621314
DESIG;53.527222;-1.892778
DET02;51.836586;0.566086
DET03;51.836833;0.582206
DET04;51.351667;0.523056
DET25;51.674528;0.293155
DET29;51.556111;1.271389
DET30;51.748573;0.231746
DEVAL;50.856944;1.466667
DEVBI;60.715000;-8.769444
DEVOM;50.721667;-3.755278
DIBAL;52.797222;2.500000
DIDEL;50.843056;-3.997222
DIGBI;55.185000;-1.050278
DIGUT;51.650278;-1.299722
DIKAS;51.776944;-3.259167
DIMLI;54.946389;-6.615278
DIRGI;60.621389;-6.454444
DISAL;53.291389;-1.630833
DISIT;52.103056;-1.711944
DISRI;51.857897;-1.512494
DITOB;52.283611;1.824167
DND01;56.453636;-3.067050
DND03;56.455425;-3.127056
DND05;56.457324;-3.191842
DND08;56.459772;-3.277033
DND26;56.431378;-3.274556
DND50;56.400750;-3.260289
DND51;56.405633;-3.263444
DND58;56.426589;-3.273172
DOBEM;51.869722;-2.928056
DOGIT;53.172778;-3.151944
DOKEK;51.421667;-6.058056
DOLAN;52.392778;0.271425
DOLAS;52.978611;1.000833
DOLUR;49.484444;-5.057222
DOMUT;50.261944;-1.669167
DONIB;55.719167;-7.695556
DOPEK;53.384444;-0.925556
DOSUN;60.117500;-6.394167
DOWNI;57.077500;-2.105833
DRAKE;50.209444;-0.076111
DTY03;52.151944;-1.046667
DTY09;52.250406;-1.329383
DTY12;52.273694;-1.401364
DTY15;52.041111;-0.784167
DTY16;52.304678;-1.497459
DTY18;52.387867;-1.465106
DTY19;52.479786;-1.623708
DTY20;52.410864;-1.505444
DTY33;52.542986;-1.546003
DTY90;52.301378;-1.257508
DTY99;52.284203;-1.289586
DUB41;53.470556;-5.164167
DUB43;53.670000;-5.147222
DUB56;53.457222;-4.746667
DUB76;53.437222;-4.190278
DUB88;54.624428;-7.891450
DVR10;51.149722;1.625278
DVR11;51.261667;1.118889
EAS05;50.865544; -1.396458
EAS15;50.931175; -1.366889
EAS70;50.828967; -1.341936
EBOTO;52.359167; -0.694444
ELDER;50.663333; -1.337222
ELNAV;52.468528; -0.042475
ELRAG;51.174444; -5.105833
ELSAN;56.705278;  3.732778
ELVOS;52.700278; -1.306944
EMLON;53.205556;  2.500000
ENITO;52.801389;  2.467500
ERAKA;58.000000;-10.000000
ERING;51.590556;  1.611944
ERLOT;55.287222; -0.585000
ERMIN;50.348611; -3.924167
ERNOK;51.691667; -2.945556
EROSI;52.375380;  0.952878
ERSON;56.463333; -4.306667
ESKDO;55.298889; -3.204167
ETSOM;57.891944; -9.500000
EVSOM;51.897747; -1.999375
EVSON;53.357500; -1.663611
EXMOR;51.178611; -3.359722
FASET;52.488272;  0.200564
FENIK;55.715278; -4.291944
FERIT;51.633056;  0.539167
FFA02;51.682817; -1.851192
FFA04;51.674658; -1.691161
FFA05;51.674483; -1.688500
FFA10;51.663967; -1.531467
FFA14;51.711414; -2.196592
FFA15;51.689694; -1.396186
FFA16;51.684442; -1.755056
FFA26;51.788901; -1.724258
FFA28;51.724355; -2.193592
FFA31;51.822742; -1.940006
FFA62;51.693019; -1.621864
FFA79;51.741422; -1.407428
FFA82;51.724355; -1.401750
FFA87;51.707086; -1.397989
FINCH;51.560000; -0.183056
FINDO;56.369167; -3.463611
FINMA;51.996389; -1.053611
FIWUD;53.868333; -3.068333
FORTY;57.950000;  0.595833
FOYLE;56.142778; -4.382222
FRANK;51.707222; -0.686111
FULMA;55.506389; -5.000000
FYNER;56.048889; -5.115278
GAM12;53.406667; -1.217500
GAM36;53.473889; -1.590000
GANBE;52.366672;  0.453561
GARMI;50.000000; -1.380556
GARVA;57.688333; -4.494722
GASKO;54.224722; -1.955833
GATRA;51.297778; -6.631944
GAVEL;59.383333; -1.406111
GEPLI;51.682383; -1.829728
GETNO;53.930000; -3.496389
GIBSO;50.749722; -2.518611
GIBSU;56.763056; -3.269444
GIGUL;54.607222; -3.169444
GILDA;51.601667;  0.984722
GILPA;55.928056; -5.878611
GILTI;51.570278;  2.055000
GINGA;56.925000; -9.500000
GINIS;53.460833; -4.858056
GIRLI;54.711389; -1.803056
GIRVA;55.185556; -4.896389
GISOK;51.502500; -5.124444
GITUS;50.333333; -5.700000
GIVEM;55.465000;  0.248056
GIVPO;53.286111;  2.869167
GLESK;56.900000; -2.795833
GODSU;52.272883;  0.270031
GOLES;53.608056; -1.100000
GOLVO;54.411389;  3.585556
GOMOT;55.919444; -0.544167
GOMUP;61.000000; -4.583333
GONAN;51.998450; -2.094233
GONUT;61.000000; -4.583333
GOTNA;54.594722; -5.598056
GOW14;56.201894; -4.393714
GOW20;56.004622; -4.988131
GOW34;56.176506; -4.678681
GRICE;56.196667; -3.685556
GUMSO;52.384494;  0.267975
GUNGU;52.514284;  0.855125
GUSSI;57.212778; -4.124167
GWC06;50.773889; -0.669722
HALIF;53.735000; -1.580556
HANKY;51.112778; -1.130833
HARDY;50.471111;  0.491111
HARLY;52.240108;  0.744641
HASTY;50.728333;  0.516667
HAVEN;55.461111; -2.996389
HAWKE;50.374167;  0.090278
HAZEL;51.005278; -0.984444
HEIDI;52.112222; -0.623333
HEMEL;51.805556; -0.419444
HERON;55.343056; -5.000000
HICUS;52.354808;  0.535644
HON06;52.453620; -1.624042
HON09;52.501981; -1.604192
HON13;52.145278; -1.553611
HON14;52.269958; -1.536450
HON16;52.097500; -1.528889
HON17;52.585403; -1.936828
HON18;52.057500;  1.747778
HON19;52.050000; -1.504167
HON20;52.625705; -1.985339
HON21;52.627778; -1.972778
HON28;52.738889; -2.100833
HON33;52.531642; -1.872286
HON46;52.979444; -2.373611
HON96;52.158275; -1.373689
HON97;52.500556; -1.604818
HON98;52.220346; -1.463900
IBDUK;51.689719; -2.198542
IBM01;52.434796; -1.727211
IBM07;52.351817; -1.636206
IBM51;52.378089; -1.664975
IDESI;51.897778;  1.885556
IDOKI;49.860278; -6.194167
INDIV;52.285147;  0.255508
ING02;50.921111;  1.466667
INLAK;51.478056; -1.524167
INPOT;52.443478;  0.199270
INPUT;55.304944;  4.651389
INSUN;50.395278; -6.323333
IOM30;53.783542; -4.067150
IOM50;53.594444; -3.612222
IPRIL;51.674722; -0.226389
IRKUM;52.996667; -5.377500
ITSUX;56.050000;  3.500000
IWQ05;53.749692; -2.857567
JACKO;51.736940;1.426670
JIMBO;52.250380;0.603230
KAPEX;50.675000;1.850000
KARNO;52.894440;2.898330
KATHY;50.520560;1.333330
KEGUN;53.192500;3.150280
KELLY;53.905280;4.364170
KEMPY;52.127500;0.646110
KENET;51.520560;1.455000
KEPAD;52.809720;2.478890
KESUP;51.325560;3.654720
KIDLI;51.771390;1.361390
KISTA;59.508330;1.949440
KOKAL;58.959720;2.893890
KOLAG;53.043610;3.255000
KOLID;53.573890;2.750830
KONAN;51.130830;2.000000
KOPUL;51.542220;1.137220
KOVAP;52.378090;0.335150
KOXIP;51.825767;1.931925
KSS04;57.620233;3.671925
KSS05;57.770406;3.015703
KSS07;57.604547;3.726553
KSS11;57.789042;3.182533
KSS14;57.443380;3.696836
KSS15;57.662486;3.485828
KSS16;57.412511;3.719790
KSS20;57.565233;3.862960
KSS24;57.522014;3.885164
KSS25;57.549467;3.917444
KSS39;57.858514;3.036791
KSS42;57.745200;3.268000
KSS43;57.697303;3.185217
KSS44;57.693964;3.360461
KSS45;57.711667;3.414430
KSS55;57.810392;3.144630
KSS59;57.838686;3.086869
KSS60;57.657700;3.512310
KSS75;57.689847;3.306997
KSS94;57.639805;3.603536
KSS99;57.740703;2.997056
KUBAX;52.942780;2.953610
KUMIL;50.575280;1.610830
LAGAV;56.893060;4.202780
LAKEY;54.238890;2.981110
LAM09;51.780800;0.257610
LAM12;51.673480;0.469810
LAM27;51.958890;0.366940
LAM37;52.071940;0.555280
LAMAT;51.301940;3.017500
LAMIX;53.307500;0.682220
LAMMA;55.858330;2.767500
LAMRO;57.030830;3.552500
LAMSO;52.732780;2.994440
LANAK;55.700280;3.938610
LANON;52.431110;4.372500
LAPRA;52.118610;1.210000
LARDI;53.604440;3.515830
LARGA;54.863890;4.153330
LBA01;53.848097;1.632992
LBA04;53.919992;1.742653
LBA05;53.793005;1.568830
LBA06;53.944734;1.780367
LBA07;53.765939;1.536839
LBA09;53.738570;1.504883
LBA10;53.882857;1.686164
LBA15;53.889389;1.698425
LBA25;53.888992;1.695575
LBA29;53.967019;1.778994
LBA32;53.981822;1.837025
LBA34;54.004583;1.759792
LBA35;54.002458;1.791972
LBA50;53.928497;1.771597
LBA55;53.932364;1.761506
LBA56;53.760178;1.551697
LBA60;53.939658;1.792510
LBA63;53.753472;1.573873
LBA68;53.717472;1.573436
LBA70;53.950811;1.813445
LBA75;53.974919;1.759654
LBA77;53.958314;1.800488
LBA90;53.973117;1.855347
LBA92;53.726156;1.539845
LBRTY;52.720608;1.417839
LEDBO;52.543060;2.102220
LEE03;54.302840;1.542991
LEE06;54.351880;1.394005
LEE07;54.388280;1.607160
LEE11;54.254567;1.841258
LEE13;54.246747;1.896533
LEE32;54.428017;1.756283
LEE33;54.448256;1.714005
LEE34;54.311420;1.549910
LEE39;54.464997;1.665733
LEGRO;53.326390;1.512780
LEKLO;51.686810;1.637710
LESTA;52.740830;1.071940
LF001;53.847956;1.633319
LF004;53.811364;1.578158
LF005;53.798961; -1.559419
LF007;53.773322; -1.521267
LF009;53.749197; -1.484380
LF090;53.849197; -1.635192
LIBSO;53.524722; 0.093333
LIC19;53.062500; -1.839167
LINDY;51.470556; -1.049167
LIRKI;61.000000; -1.850000
LISTO;53.143333; -2.196667
LKH09;52.377675; 0.788267
LKH24;52.301200; 0.239314
LKH30;52.308519; 1.347653
LKH31;52.473219; 0.391719
LKH99;52.643831; -0.012317
LND41;49.530000; -6.150833
LND47;49.456111; -5.032500
LND58;49.233889; -6.143056
LND66;49.170556; -6.448333
LOGAN;51.747500; 1.611944
LOMON;56.063889; -4.580000
LOREL;52.013889; -0.052778
LOVEL;53.251667; -2.274444
LUCCO;50.691667; -1.108333
LUGED;52.452011; 0.663289
LUK11;56.399147; -2.537306
LUK16;56.377656; -2.821267
LUK65;56.388000; -2.671042
LUMOX;51.685122; -1.960867
LYD07;50.978333; 1.040833
LYD26;50.666667; 0.455556
LYE03;51.465831; -2.029192
LYE05;51.516681; -1.969669
LYE08;51.520356; -1.779458
LYE65;51.561231; -1.825820
LYE80;51.568989; -1.800675
LYNAS;53.442500; -4.333333
MABUG;49.784722; -5.936667
MAC29;55.358889; -6.500000
MAC30;55.554722; -6.500000
MAC57;55.116667; -7.218889
MAC89;54.661389; -7.840278
MADAD;55.913056; -1.733889
MALBY;51.592500; -2.061667
MALUD;53.413333; -3.608333
MAM03;52.630259; 0.476097
MAM05;52.675486; 0.681453
MAM08;52.663006; 0.585117
MAM09;52.697967; 0.785125
MAM10;52.702825; 0.679758
MAM90;52.732742; 0.755686
MAMUL;53.418056; -1.280000
MANGO;51.692778; 0.790556
MANIG;49.785278; -3.259444
MAPLE;52.393333; -1.680833
MARGO;54.707500; -2.774722
MARUK;50.246389; -2.072222
MASOP;54.155833; -4.354167
MATCH;51.779167; 0.250000
MATIK;61.000000; -8.066667
MAVIX;55.847222; -4.080556
MAY13;51.056944; 0.460833
MAY38;51.131389; 1.082222
MEDOG;51.950278; -3.549444
MERLY;51.333333; -5.000000
METLE;52.340456; 0.634206
MID10;51.019167; -0.883056
MID16;50.845278; -0.904722
MID23;50.695000; -0.389167
MID25;50.648056; -0.535833
MID28;50.666667; -0.214444
MID72;52.068333; -1.674444
MIKEL;54.275000; -4.862778
MIMBI;51.549167; -1.693333
MIMKU;56.000000; -10.000000
MIMVA;53.100833; 3.303611
MITSO;53.651944; -0.893889
MLD02;52.391600; 0.517044
MLD03;52.350383; 0.567647
MLD10;52.356911; 0.519234
MLD11;52.394136; 0.165881
MLD12;52.357050; 0.519845
MLD13;52.366578; 0.453400
MLD20;52.502978; -0.006028
MLD21;52.314592; 0.804542
MLD23;52.254203; 0.183514
MLD25;52.281828; 0.161239
MLD29;52.454340; 0.167356
MLD30;52.447370; 0.191042
MLD31;52.349933; 0.566878
MLD32;52.470808; 0.706750
MLD55;52.339553; 0.632689
MLD57;52.383456; 0.336855
MLD58;52.480800; 0.785536
MLD59;52.543742; 0.946222
MLD62;52.317734; 0.337188
MLD74;52.340217; 0.632983
MLD77;52.327194; 0.668625
MLD82;52.392986; 0.270667
MLD96;52.378844; 0.327164
MLD98;52.240992; 0.742989
MOCHA;59.548889; -1.366389
MODGO;60.445278; -7.665278
MOGLI;52.308333; -0.269167
MOLIX;52.821944; 3.068611
MONTY;52.892778; -3.173889
MORAY;58.083333; -2.821667
MORBY;53.919444; -3.483333
NADIR;57.824167; 0.000000
NAKID;49.715000; -4.623056
NALAX;53.483333; 0.401667
NANTI;53.137500; -2.566944
NAPEX;53.206389; -0.861111
NATEB;55.038333; -1.698333
NATKO;53.453333; -4.635278
NAVEL;55.586944; 0.841944
NEDEX;51.876944; -1.472222
NEDUL;50.666111; -1.547778
NEKAP;51.726389; -5.290556
NELBO;54.490000; -5.302778
NELSA;53.863333; -2.184722
NEPSO;54.238056; 1.269722
NESDI;57.121667; -4.146667
NEVIS;56.695278; -4.544722
NEXUS;56.211944; -1.844722
NIGIT;51.313056; -1.170833
NIGOL;54.905000; 2.492222
NILON;51.596111; 0.634444
NINEX;58.855556; -9.500000
NITON;52.553333; -3.200278
NOKIN;53.076667; -2.882778
NORRY;51.479722; -1.123333
NOTRO;50.436667; -3.172500
NUBRI;51.338056; -1.232222
NUMPI;54.144444; -5.593333
NUMPO;51.610000; -3.283611
OBOXA;54.176667; -1.905556
OCK11;51.600917; -0.371958
OCK13;51.600050; -0.363678
ODMIX;56.970000; 1.467500
ODROB;51.654167; 1.912500
OGDIN;53.846944; 0.580833
OKAMA;53.170833; 2.772778
OKESI;51.443333; -2.061667
OKTEM;52.719444; -3.187500
OLKER;61.000000; -6.500000
OLNEY;52.127778; -0.734167
ORSUM;57.051944; -5.294722
ORVIK;59.638333; 0.669167
OSGOD;51.783889; -1.919167
OSPOL;50.150000; -0.185556
OTBED;53.288056; 0.031944
OTBUN;55.280556; -2.433333
OTROS;52.345897; 0.421614
PAVLO;50.934722; -5.895556
PEDIG;52.746667; -1.719444
PELET;54.653333; 3.431111
PEMAK;49.448889; -6.218056
PEMOB;52.143889; -5.161389
PENIL;53.615833; -3.663611
PEPIN;59.991944; 0.015000
PEPIS;51.196667; -1.243611
PEPOV;58.176944; 1.715278
PEPUL;52.267500; -1.887222
PERUP;51.709444; -2.942222
PHILI;49.475278; -7.021389
PIK10;55.447244; -4.233580
PIK12;55.392917; -4.277231
PIK18;55.420503; -4.250786
PILIP;50.334167; -1.007222
PIPAR;56.116667; -3.201667
PIPEM;58.156389; -3.738611
PIPIN;52.610000; -0.941667
PIXUP;52.031944; -1.111111
PLY49;50.374105; -3.993497
PLY51;50.373778; -3.990694
PLY55;50.415120; -4.088419
POL02;53.602569; -1.955034
POL05;53.811225; -2.186043
POL11;53.557778; -2.030278
POL21;54.081667; -1.948333
POL22;54.095278; -1.995833
POL35;53.180556; -1.884167
POL47;53.525278; -0.789722
POL57;53.465278; -0.578889
POL84;55.115644; -1.674900
POMPI;50.763333; -0.954167
POTON;52.084444; -0.427222
PTH11;56.293333; -3.561389
PTH15;56.233333; -3.638611
PTH24;56.763333; -2.968889
PY005;50.414903; -4.090519
PY008;50.370728; -3.905437
PY030;50.391947; -4.034347
R0073;52.364333; 0.468000
R1322;51.338256; 0.038050
R2248;55.863475; -4.449064
R2292;51.477500; -0.485011
R2293;51.464792; -0.482336
R2294;51.464953; -0.434078
R2295;51.477675; -0.433261
R2296;57.652878; -3.542286
R2297;53.871431; -1.669089
R2298;53.860364; -1.652070
R2299;51.682999; -1.811999
R2300;51.683999; -1.768000
R2302;57.715349; -3.322386
R2303;55.515225; -4.611460
R2304;55.502411; -4.574481
R2307;52.801858; -2.668008
R2308;52.744994; -0.635286
R2309;51.753889; -1.561700
R2310;50.435878; -4.982394
R2314;53.177564; -0.516306
R2315;57.209550; -2.203414
R2316;57.194303; -2.192164
R2317;51.877056; 0.222889
R2318;51.895158; 0.250044
R2320;55.878086; -4.421772
R2321;54.301944; -1.542611
R2322;50.420300; -4.099725
R2323;56.376344; -2.840236
R2324;52.402500; 0.544333
R2325;52.416333; 0.577667
R2327;50.957186; -1.352944
R2328;51.555321; -0.408203
R2329;51.511456; -1.983456
R2330;55.944988; -3.387219
R2331;55.954900; -3.357978
R2337;52.209858; 0.184361
R2464;52.448625; -1.742217
R2465;52.463186; -1.758467
R2534;53.748444; -2.866508
R2551;56.452467; -3.037181
R2558;51.623186; -1.093950
R2637;54.516131; -1.416350
R2638;54.501094; -1.442427
R2706;59.882043; -1.284764
R2787;52.655405; 0.567402
R2896;53.253783; -4.546347
R3060;52.358667; 0.508167
RAMID;52.957778; 2.500000
RAMOX;53.660278; -4.249722
RANOK;56.700000; -4.249722
RAPIX;51.443889; 2.000000
RAPUM;54.921667; -1.882778
RATLO;51.991389; 1.681944
RATSU;61.000000; -10.000000
RAVLO;52.916944; 3.148333
REDFA;52.114722; 2.488056
REKNA;56.174722; 3.500000
REMSI;53.960278; -3.825556
RETSI;52.511667; -2.875833
REXAM;53.066667; -3.160278
RIBEL;54.016111; -2.289722
RIGDI;50.270833; -5.991389
RIGVU;58.793333; 2.155000
RIKUD;54.494444; -1.035556
RILES;51.948611; -2.922778
RIMBU;51.706111; 2.161944
RIMTO;53.717500; -1.433056
RINGA;54.398333; -5.571111
RINIS;51.908333; 2.322500
RINTI;51.032778; 1.615556
RISLA;53.031944; -2.886667
RIVOT;56.408056; 0.776944
ROBBO;55.889722; -4.910278
ROBEM;55.459167; -1.020556
ROBIN;52.963333; -1.295833
ROBLI;52.404264; 0.577711
RODNI;51.715833; -0.861667
RODOL;53.238056; -1.861944
RODSI;54.798889; -2.893056
ROGAG;53.235000; -0.295833
ROGBI;52.296389; -1.335000
ROKAN;53.663333; 3.188889
ROKSI;50.503611; -2.214167
ROLEX;53.428333; -3.967778
ROLUM;54.305556; 3.308611
ROMPA;54.000000; 3.592222
RONAR;57.530556; -5.655278
ROPAL;55.138056; 3.945278
ROTNO;50.857222; 0.778056
ROWAN;51.752500; 0.249167
ROXAT;53.413611; 3.000000
RUBEX;55.320000; -6.935278
RUBMI;50.279444; -2.328611
RUGID;57.369167; -4.898611
SABER;51.703889; 0.949444
SAM02;50.988553; -1.343158
SAM03;51.003745; -1.325934
SAM05;51.038281; -1.306047
SAM06;50.965261; -1.344447
SAM07;51.069617; -1.287975
SAM11;51.132222; -1.270833
SAM12;51.075067; -1.338361
SAM24;51.071568; -1.298975
SAM25;50.845278; -1.980556
SAM30;51.004303; -1.329897
SAM31;51.057164; -1.255355
SAM35;50.900181; -1.374997
SAM36;50.800000; -2.238889
SAM44;51.049664; -1.239067
SAM49;51.039947; -1.221658
SAM50;51.041792; -1.340208
SAM52;50.121667; -1.681111
SAM53;51.060075; -1.252790
SAM70;50.827901; -1.406481
SAM83;51.050947; -1.230556
SAM91;50.839875; -1.370614
SAM93;50.937806; -1.360328
SAM94;50.867889; -1.421525
SAM95;50.780450; -1.497767
SAM98;51.000483; -1.322642
SAM99;51.033692; -1.298136
SANDY;51.064167; 1.067500
SAPCO;52.540278; -1.356944
SAPOT;59.261111; -2.380833
SED01;51.863577; 0.200438
SED04;51.827828; 0.144195
SED66;51.796756; 0.095589
SETEL;54.012500; -2.435833
SFD06;50.663395; 0.084964
SFD07;50.666667; 0.242500
SFD55;50.761944; -1.337778
SHAPP;54.500000; -2.627222
SHUTR;52.439772; 0.198042
SIERA;50.836567; -1.440486
SILVA;51.847500; -1.005278
SIREN;51.570833; -1.874722
SIRGO;51.629444; 0.646389
SITET;50.100000; 0.000000
SITNU;51.679759; -1.961174
SIVDA;52.356111; 0.029722
SKERY;50.000000; -3.173056
SKESO;49.824722; -3.034167
SLYDA;54.201111; -5.087500
SMG50;50.439870; -4.989978
SMG51;50.391375; -4.864292
SMOKI;57.776944; -2.598889
SOMVA;52.307222; 2.644444
SONDO;52.085000; 1.811667
SONEX;53.498056; -2.172500
SONOG;52.105556; 2.269444
SONOL;53.001389; 2.500000
SOPAX;53.646944; -4.452222
SOPEK;53.108889; 2.500000
SOTUN;54.176667; 3.626944
SOXON;58.968333; -3.872778
SPINN;52.407203; 0.169827
STAFA;52.861389; -2.243056
STIRA;56.133889; -3.833611
STOAT;52.025833; -0.020833
STU05;51.976389; -6.109444
STU30;51.760833; -6.036111
STU39;51.787778; -6.045000
STU40;51.958056; -6.103056
STU57;51.551667; -6.407500
STU61;51.523056; -6.498333
SUBUK;54.380000; -3.286389
SUPAP;49.433889; -5.822778
SUPEL;53.227778; 0.591111
SUPIT;57.332500; -7.085000
SURAT;55.915556; 3.500000
SUSIS;55.604722; -0.350556
SUSIX;50.616667; -0.967500
SWANY;51.559444; -4.130000
SX001;51.906531; 0.269789
SX004;51.942300; 0.325969
SX066;51.973295; 0.374964
TABBI;52.350203; 0.567314
TABEN;51.363611; -1.172778
TABIT;55.799444; -5.333333
TADAL;53.587222; -3.026389
TALGA;51.958333; -3.245556
TALIG;49.516389; -5.801111
TANET;51.449444; 0.925556
TARTN;55.717222; -3.138611
TEBLO;50.954167; 1.222500
TEBRA;51.488889; 1.611944
TEDSA;52.050833; 1.127500
TELBA;52.664444; -2.318611
TENDO;54.028889; 0.246389
TENSO;53.600556; -2.207500
TERKO;51.625556; 0.746667
TESDO;50.123889; -7.116667
TETRU;51.674114; -2.199050
THRED;50.498611; -1.663889
TIGER;51.067222; 0.439444
TILNI;54.547500; -1.855000
TIMPO;52.558889; -1.163889
TINAN;50.666667; -3.448333
TINDI;54.037222; 3.258056
TIPAN;54.598333; 4.398889
TIPIL;53.166667; -1.739722
TIPTA;54.803611; -1.611389
TIVER;50.809167; -3.423889
TLA08;55.377500; -3.262500
TLA09;55.349350; -3.352778
TLA10;55.346031; -3.234042
TLA24;55.127778; -3.078611
TLA25;55.348125; -2.670946
TLA43;56.200000; -3.180833
TLA54;56.386111; -3.134167
TNT18;52.755463; -1.627022
TNT19;52.740031; -1.733494
TNT23;52.673947; -1.746745
TNT25;53.411389; -1.209444
TNT26;52.624389; -1.756655
TNT30;52.556497; -1.598603
TNT41;53.358056; -0.655833
TOBIX;51.604722; 1.280833
TOLSA;53.126944; 3.108056
TOPRO;51.911667; -3.249167
TOTRI;51.775000; 0.196667
TRIPO;51.713056; 1.082778
TRN01;55.483700; -4.525500
TRN04;55.465928; -4.476358
TRN07;55.522000; -4.628300
TRN08;55.441863; -4.723300
TRN09;55.392467; -4.561933
TRN10;55.411872; -4.328775
TRN12;55.418756; -4.486269
TRN13;55.384783; -4.255147
TRN29;55.541736; -4.682506
TRN31;55.474042; -4.708089
TRN51;55.558244; -4.867889
TRN60;55.569200; -4.759456
TRN61;55.530667; -4.931033
TRN70;55.514769; -4.610539
TRN85;55.509270; -4.850450
TRN91;55.419992; -4.350886
TRN95;55.499630; -4.909914
TROUT;57.510000; -1.415000
TUMTI;53.077778; -1.604167
TUNEL;51.443056; 0.231111
TUNSO;55.111111; -4.961389
TUPEM;53.838056; -3.481944
ULLAP;57.900000; -5.169167
UMBAG;52.347778; 0.782500
UMBEL;54.028889; -0.485278
UNBIG;51.740833; -3.583889
UPTON;53.586944; -1.300833
UVAVU;54.416667; -1.896111
VABIK;51.246389; 2.000000
VADNO;57.453056; -3.627222
VANIN;53.985278; -4.039167
VAPID;51.253889; -1.045000
VATON;51.434444; -0.348889
VEGUS;53.400278; -0.353056
VENAS;54.305556; 3.652222
VEXEN;50.139444; -1.826111
VIDOK;52.410833; -2.041944
VYL01;53.365878; -4.823019
VYL06;53.321747; -4.669197
VYL10;53.367083; -4.750656
VYL11;53.264700; -4.567500
VYL12;53.089831; -4.724803
VYL20;53.238742; -3.990122
VYL28;53.285436; -4.604147
VYL65;53.327845; -4.355558
VYL80;52.927078; -4.476460
WAD01;53.149489; -0.535133
WAD03;53.116128; -0.540617
WAD07;53.271611; -0.454281
WAD08;53.188089; -0.509270
WAD20;53.140856; -0.564236
WAD27;53.361317; -0.394764
WAD35;53.218578; -0.487578
WAD45;53.324272; -0.281944
WAFFU;50.582500; 0.349722
WAL05;52.983333; -3.166667
WAL15;53.129444; -3.155278
WAL16;53.546389; -3.498056
WAL21;53.417500; -3.717500
WAL26;53.423889; -3.856667
WAL33;53.066667; -2.411389
WAL35;52.809722; -3.180556
WAL41;52.975833; -2.213056
WAL48;53.534722; -1.821111
WAL57;52.815833; -1.867500
WATFO;51.675833; -0.348333
WEALD;51.330833; 0.034722
WELIN;52.247222; -0.852222
WESUL;51.670833; -0.485833
WIK10;58.304167; -2.984722
WIT02;52.617117; -0.446183
WIT04;52.611231; -0.607947
WIT10;52.653742; -0.235778
WIT12;52.662839; -0.183125
WIT40;52.604475; -0.389525
WIT95;52.597317; -0.171169
WIZAD;51.116667; 0.953056
WOBUN;52.019444; -0.733333
WOD25;51.146389; -0.430556
WOTAN;51.623889; -2.335000
WQ007;53.783314; -2.684058
WTN01;53.737994; -2.920625
WTN05;53.728517; -3.031733
WTN13;53.837710; -3.219047
WTN26;53.709256; -3.254353
WTN27;53.735569; -3.257611
WTN30;53.852611; -3.269367
WTN95;53.723856; -2.627703
WTZ25;52.224722; 1.602500
WTZ37;52.079722; 1.947222
XAMAB;50.204444; 0.264722
XAMAN;51.784722; 2.224167
XEDUR;52.394219; 0.710019
XERSA;52.421586; 0.590214
XIDIL;50.351667; 0.641389
XIGAR;51.813889; 0.262778
ABDAL;51.446111; -1.863333
ACORN;51.255278; 0.196111
AGANO;49.665000; -2.000000
ALESO;50.575556; 1.225556
ALOTI;57.907500; 3.608333
AMLET;53.268611; -1.838333
ANGLA;49.703889; -2.020833
ANGLO;49.928333; -0.455000
ARTHA;53.783056; -2.285278
ASKEY;52.013889; -0.052778
ASTRA;50.865556; -0.146389
ATWEL;50.847500; -3.416944
AVRAL;55.509444; 3.716389
BAGPO;55.007778; -3.193889
BALIS;57.234167; -2.065000
BAMBO;51.876944; -1.616667
BAPAG;51.718056; -0.123333
BAROS;53.406111; -3.445278
BEMID;51.573889; 0.348889
BENIX;49.546667; -1.490000
BENTY;59.770833; -1.136111
BEREP;59.035833; 1.738889
BEVAV;49.066944; -1.690556
BEXIL;50.708889; 0.736944
BIGLI;52.130000; -0.241667
BODAM;59.918333; -1.268333
BOLRO;50.000000; -1.691389
BONDY;51.131389; 0.757500
BOVVA;51.726111; -0.549722
BRILL;49.702500; -2.389722
BURNI;53.727222; -2.517778
CASEL;53.831111; -4.182500
CEDAR;52.518611; -1.820000
CHANL;50.454167; 0.189722
CHUBB;49.431667; -2.808333
COLRE;55.116389; -6.733889
CREWE;52.818611; -2.307500
DALEY;53.668889; -2.349167
DAYNE;53.238611; -2.029167
DELBO;51.876944; -1.273333
DETOP;55.244722; 5.000000
DIKRO;49.584722; -1.110833
DIPSO;53.053611; -1.344167
DONNA;51.700000; -0.743611
DORKI;51.275833; -0.264444
DUFFY;54.514722; -5.860833
DUNGV;54.895556; -6.790000
EBONY;52.341667; -2.058333
ELBAN;55.954722; -4.504444
ELBOB;54.732778; -7.743889
ENOKA;55.336111; -3.662778
ESTRY;53.664444; -3.261667
ETIKI;48.000000; -8.750000
EVNAS;51.667778; 0.443889
EVSEM;51.730556; -1.462500
FAMBO;54.500000; -0.464444
FERAS;51.635833; 0.640278
FIMLI;51.301111; -0.668333
GINTI;51.578611; 0.370000
GIRNU;60.473611; -0.619444
GODOS;53.249167; 3.429722
